nid	module	name
166dcc11	sceNp	sceNpLookupNpId
1672170e	sceNp	sceNpScoreRecordScore
167ea63e	cellSync	cellSyncLFQueueSize
1686957e	cellSpursJq	cellSpursJobQueueAttributeSetMaxSizeJobDescriptor
168a3117	sceNp	sceNpBasicAddPlayersHistory
168fcece	sceNp	sceNpManagerGetAccountAge
1692ae0c		_ZNSt6localeD1Ev
16b3e5a4	sceNp2	sceNpMatching2CreateServerContext
16b4ba78	cellCamera	cellCameraCloseAsync
16bf208a		log10f
16df5ecb		_ZNKSt12codecvt_base16do_always_noconvEv
16eaf5f1	cellL10n	UHCstoEUCKRs
16f1ce55	sys_net	_sce_net_set_ip_and_mask
16f88a6f	sceNp	sceNpManagerGetPsHandle
16ff9ba0	cellSysutilAvc2	cellSysutilAvc2StartVoiceDetection
17001000	cellSpurs	cellSpursAddUrgentCommand
170829d3	sceNpMatchingInt	sceNpMatchingGetRoomMemberList
172c3197	cellGcmSys	cellGcmSetDefaultCommandBufferAndSegmentWordSize
17316bee		log2
17481336	cellSysutilAvc2	cellSysutilAvc2UnloadAsync
1758053c	cellL10n	jis2sjis
17667744		_LInf
17752bab		wcsftime
177bd218	cellImeJpUtility	cellImeJpGetCandidateSelect
178982d9	cellSysutilAvc2	cellSysutilAvc2StopVoiceDetection
178d98dd		atanf4fast
17932b26	cellSail	cellSailPlayerInitialize
17bc0136		_Lrv2d
17c031d7		spu_thread_read_ulong
17c702b9	libvdec	cellVdecGetPicItem
17cd5d87		_recipf4fast
17d1213b	cellAudio	cellAudioSendAck
17db7aa7	sceNpTus	sceNpTusTryAndSetVariableVUserAsync
17dbe8b3	cellSysutil	cellSysutilAvcJoinRequest
17dd0a4e		_ZNKSt7_MpunctIwE16do_negative_signEv
17f42197	cellUsbPspcm	cellUsbPspcmBindAsync
17fb83c1	cellGifDec	cellGifDecExtOpen
1827e724	cell_FreeType2	FT_List_Up
182cd542		tgammal
182d9890	cellSpurs	cellSpursRequestIdleSpu
18484dc6	cell_FreeType2	FT_Stroker_Export
184a21da	cell_FreeType2	FT_Get_PFR_Advance
185591d6	cellDTSLBRdec	_SceAdecCorrectPtsValue_DtsLbr
1855b9b1		setlocale
1860f909	sys_lv2dbg	sys_dbg_get_spu_thread_ids
18628537		_ZNKSt8numpunctIcE16do_decimal_pointEv
18668ce3		exp
186b98d3	cellSail	cellSailPlayerGetRegisteredProtocols
186bcc94		_ZNSt8ios_base4InitD1Ev
