ordinal	packet	name	source	ref	fw_from	fw_to
106	none	sys_cond_destroy	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_COND_DESTROY	none	none
107	none	sys_cond_wait	cellgov	cellgov_ps3_abi::lv2::syscall::COND_WAIT	none	none
107	none	sys_cond_wait	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
107	none	sys_cond_wait	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_COND_WAIT	none	none
108	none	sys_cond_signal	cellgov	cellgov_ps3_abi::lv2::syscall::COND_SIGNAL	none	none
108	none	sys_cond_signal	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
108	none	sys_cond_signal	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_COND_SIGNAL	none	none
109	none	sys_cond_signal_all	cellgov	cellgov_ps3_abi::lv2::syscall::COND_SIGNAL_ALL	none	none
109	none	sys_cond_signal_all	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
109	none	sys_cond_signal_all	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_COND_SIGNAL_ALL	none	none
110	none	sys_cond_signal_to	cellgov	cellgov_ps3_abi::lv2::syscall::COND_SIGNAL_TO	none	none
110	none	sys_cond_signal_to	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
110	none	sys_cond_signal_to	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_COND_SIGNAL_TO	none	none
111	none	_sys_lwcond_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
112	none	_sys_lwcond_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
113	none	_sys_lwcond_queue_wait	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
114	none	sys_semaphore_get_value	cellgov	cellgov_ps3_abi::lv2::syscall::SEMAPHORE_GET_VALUE	none	none
114	none	sys_semaphore_get_value	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
114	none	sys_semaphore_get_value	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_SEMAPHORE_GET_VALUE	none	none
115	none	_sys_lwcond_signal	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
116	none	_sys_lwcond_signal_all	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
117	none	_sys_lwmutex_unlock2	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
118	none	sys_event_flag_clear	cellgov	cellgov_ps3_abi::lv2::syscall::EVENT_FLAG_CLEAR	none	none
118	none	sys_event_flag_clear	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
118	none	sys_event_flag_clear	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_EVENT_FLAG_CLEAR	none	none
119	none	sys_time_get_rtc	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
120	none	sys_rwlock_create	cellgov	cellgov_ps3_abi::lv2::syscall::RWLOCK_CREATE	none	none
120	none	sys_rwlock_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
120	none	sys_rwlock_create	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_CREATE	none	none
121	none	sys_rwlock_destroy	cellgov	cellgov_ps3_abi::lv2::syscall::RWLOCK_DESTROY	none	none
121	none	sys_rwlock_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
121	none	sys_rwlock_destroy	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_DESTROY	none	none
122	none	sys_rwlock_rlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
122	none	sys_rwlock_rlock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_RLOCK	none	none
123	none	sys_rwlock_tryrlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
123	none	sys_rwlock_tryrlock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_TRYRLOCK	none	none
124	none	sys_rwlock_runlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
124	none	sys_rwlock_runlock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_RUNLOCK	none	none
125	none	sys_rwlock_wlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
125	none	sys_rwlock_wlock	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_RWLOCK_WLOCK	none	none
126	none	sys_rwlock_trywlock	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
